area,accomplishment,year,where,detail,,,
Certified Lean Six Sigma Green Belt,,,,,,,
Certified Lean Six Sigma White Belt,,,,,,,
Microsoft Software,Various Applications,,,Microsoft Excel - 112,,,
Microsoft Software,Various Applications,,,Microsoft Word - 22,,,
Microsoft Software,Various Applications,,,Microsoft Outlook - 21,,,
Microsoft Software,Various Applications,,,Microsoft Power Point - 18,,,
Microsoft Software,Various Applications,,,Share Point - 9,,,
Microsoft Software,Various Applications,,,Microsoft Project - 6,,,
Microsoft Software,Various Applications,,,Microsoft Access - 3,,,
Microsoft Software,Various Applications,,,Microsoft Power BI - 3,,,
